definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,transitivity,jlpt_level,lesson_codes,tags,id,row_num,date_added
sunny,晴れ,はれ,,晴れ,NOUN,,,5,"{DUO_01_03,DUO_U02,GENKI3_L08}",{weather},a2edc793-e468-5c89-8566-efd896ac302c,324,2022-08-12
outside,外,そと,,外,NOUN,,,5,"{DUO_01_03,DUO_U02,GENKI3_L18}",,05f754d9-f497-54db-9340-cea898b0ff28,325,2022-08-12
fermented soybeans,納豆,なっとう,,納豆,NOUN,,,,"{DUO_01_04,DUO_U02}",{food},3cae06c0-447c-5b59-b04b-4c5036c5ce20,326,2022-08-12
wind; breeze; draft,風,かぜ,,風,NOUN,,,5,"{DUO_01_04,DUO_U02,GENKI3_L22}",,1a0c8160-c588-508a-bcbc-c3bf3bdbb0fe,327,2022-08-12
map,地図,ちず,,地図,NOUN,,,5,"{DUO_01_04,DUO_U02,GENKI3_L15}",,86e894b7-ebf2-5e8e-991e-54ebd19f764d,328,2022-08-12
fruit,果物,くだもの,,果物,NOUN,,,5,"{DUO_01_04,DUO_U02,GENKI3_L05}",{food},7f320ae8-3952-5727-a45e-4c5535a79533,329,2022-08-12
ticket (transport),切符,きっぷ,,切符,NOUN,,,5,"{DUO_01_04,DUO_U02,GENKI3_L12}",{transportation},efc7ae30-059c-5579-9e95-1e53594af9ed,330,2022-08-12
game,ゲーム,げえむ,,,NOUN,,,3,{GENKI3_L04},{activity},038bec1a-765f-42b2-905d-28004fd829a3,331,2022-08-10
part-time job,アルバイト,あるばいと,,,NOUN,,,4,{GENKI3_L04},{activity},303cf994-1062-45cd-9c22-738f09ffee51,332,2022-08-10
part-time job (colloquial),バイト,ばいと,,,NOUN,,,,{GENKI3_L04},{activity},8509b44f-d5d4-437f-a845-aae915c292dc,333,2022-08-10
shopping,買い物,かいもの,,買い物,NOUN,,,5,{GENKI3_L04},{activity},a024bfb6-a9ef-4690-904a-d8fa02367ed3,334,2022-08-10
class,クラス,くらす,,,NOUN,,,5,{GENKI3_L04},{activity},c52c9908-d959-404c-a8f8-161c2663e84e,335,2022-08-10
person,人,ひと,,人,NOUN,,,5,{GENKI3_L04},,624914ad-ed17-40f2-9260-e70c69962692,336,2022-08-10
child,子供,こども,,子供,NOUN,,,5,{GENKI3_L04},,399bbf9b-f7e7-429c-8874-42e0bf5cae9e,337,2022-08-10
picture; photograph,写真,しゃしん,,写真,NOUN,,,5,{GENKI3_L04},,e63daade-a22a-4554-a061-4077691692ee,338,2022-08-10
flower,花,はな,,花,NOUN,,,5,{GENKI3_L04},,8b29a67e-61cf-494a-972a-5d59944a53d6,339,2022-08-10
(term) paper,レポート,れぽおと,,,NOUN,,,4,{GENKI3_L04},,26eb1163-f6e3-43a8-b406-be60d5959e56,340,2022-08-10
temple,お寺,おてら,,お寺,NOUN,,,4,{GENKI3_L04},{place},8ff036c4-9800-49d5-906b-514520c78880,341,2022-08-10
shinto shrine,神社,じんじゃ,,神社,NOUN,,,4,{GENKI3_L11},"{place,shinto}",0f9832ad-9fe4-4428-aa84-6f20064d973e,342,2022-08-10
park,公園,こうえん,,公園,NOUN,,,5,{GENKI3_L04},{place},fe1b8cc3-30c4-49ce-90de-e60514fdf437,343,2022-08-10
supermarket,スーパー,すうぱあ,,,NOUN,,,,{GENKI3_L04},{place},1e29f308-89f0-4c1d-bef5-323b3fdb1ca7,344,2022-08-10
bus stop,バス停,ばすてい,,バス停,NOUN,,,,{GENKI3_L04},{place},c406dd1a-75be-4283-97ee-5c7c31f904ed,345,2022-08-10
hospital,病院,びょういん,,病院,NOUN,,,5,{GENKI3_L04},{place},850f7735-fa14-49d2-9879-20d8a47dc0e8,346,2022-08-10
hotel,ホテル,ほてる,,,NOUN,,,5,{GENKI3_L04},{place},19bda9d8-1bbf-4d7b-8388-8375d9480918,347,2022-08-10
