definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,jlpt_level,lesson_codes,tags,id,row_num,date_added,,dictionary_form,past_form,te_form,negative_form,negative_past_form,negative_te_form,polite_form,polite_past_form,polite_te_form,polite_negative_form,polite_negative_past_form,polite_negative_te_form
seven,七,なな,しち,七,NOUN,,5,{GENKI3_L02},{number},49ab0509-4a86-552d-975b-fc49e74790d4,172,2022-05-30,,,,,,,,,,,,,
eight,八,はち,,八,NOUN,,5,{GENKI3_L02},{number},6d9b3812-644e-5890-94cc-09a2fd01a30a,173,2022-05-30,,,,,,,,,,,,,
nine,九,きゅう,,九,NOUN,,5,{GENKI3_L02},{number},aaf16bcd-1ecc-5f72-97a6-497825719aba,174,2022-05-30,,,,,,,,,,,,,
ten,十,じゅう,,十,NOUN,,5,{GENKI3_L02},{number},e05ed6a4-edcb-5052-9760-1e10c70c2236,175,2022-05-30,,,,,,,,,,,,,
hundred,百,ひゃく,,百,NOUN,,5,{GENKI3_L03},{number},0f06fb63-c508-57a2-8983-2cb9f5dfd2e7,176,2022-07-24,,,,,,,,,,,,,
thousand,千,せん,,千,NOUN,,5,{GENKI3_L03},{number},662aaf34-2fd3-5ab7-ad40-ee6e4862fc2c,177,2022-07-24,,,,,,,,,,,,,
ten-thousand,万,まん,,万,NOUN,,5,{GENKI3_L03},{number},06eedaf7-2c40-54e4-a1ea-669b265fda8d,178,2022-07-24,,,,,,,,,,,,,
movie,映画,えいが,,映画,NOUN,,5,{GENKI3_L03},{entertainment},b82fa253-fbb7-559c-b127-77d2262df800,179,2022-07-24,,,,,,,,,,,,,
music,音楽,おんがく,,音楽,NOUN,,5,{GENKI3_L03},{entertainment},aa05a718-c2a5-5083-9c3d-b0e4d1bd09a8,180,2022-07-24,,,,,,,,,,,,,
magazine,雑誌,ざっし,,雑誌,NOUN,,5,{GENKI3_L03},{entertainment},3bef2c81-886b-5bbd-9f1b-dfc94288bea2,181,2022-07-24,,,,,,,,,,,,,
sports,スポーツ,すぽおつ,,,NOUN,,5,{GENKI3_L03},{entertainment},bbf5a302-a23c-5142-b721-2aa90ff1e8dc,182,2022-07-24,,,,,,,,,,,,,
date (romantic),デート,でえと,,,NOUN,,3,{GENKI3_L03},{entertainment},738002f3-36da-5668-8a8b-46415de8cd52,183,2022-07-24,,,,,,,,,,,,,
tennis,テニス,てにす,,,NOUN,,4,{GENKI3_L03},{entertainment},8f790b97-9843-5efe-b338-e1c37618c616,184,2022-07-24,,,,,,,,,,,,,
TV,テレビ,てれび,,,NOUN,,5,{GENKI3_L03},{entertainment},5ca8a07b-ac34-5789-ab4a-8bd29d51929c,185,2022-07-24,,,,,,,,,,,,,
ice cream,アイスクリーム,あいすくりいむ,,,NOUN,,3,{GENKI3_L03},{food},b3e732b3-61c4-574d-8901-b1c74076b5ea,186,2022-07-24,,,,,,,,,,,,,
hamburger,ハンバーガー,はんばあがあ,,,NOUN,,,{GENKI3_L03},{food},720a22a5-3132-56e6-8380-03a20e2a4af1,187,2022-07-24,,,,,,,,,,,,,
