#columns: id,definition,preferred_spelling,phonetic_spelling,alt_spelling,word_class,conjugation_kind,jlpt_level,date_added,row_num,lessons,tags
c30f6fb9-5695-5c83-80b8-6ff6fa07ce2e,to stop moving; to come to a stop,止まる,とまる,,verb,,,2022-09-02,398,,verb
461f8d91-ff08-5cf0-a0a9-891008b85589,stop (on road signage),止まれ,とまれ,,expression,,,2022-08-12,399,,expression
8e1502b1-e593-5485-867d-72fcb3b1217d,plain; field,野,の,,noun,,3,2022-09-09,400,,noun
7d911224-17ff-5957-a840-cf56e5907439,division into equal parts,等分,とうぶん,,noun,,2,2022-08-12,401,,noun
e396a0a2-95a9-52dc-bbde-5bbc8d28c073,bride,花嫁,はなよめ,,noun,,2,2022-08-12,402,,noun
3f9be32c-56f7-5543-98b0-5f145ab43669,master; teacher,師匠,ししょう,,noun,,,2022-08-12,403,,noun
b0f23319-1e7e-5eee-aa4c-1181b78ebeec,order; request,ご注文,ごちゅもん,,noun,,,2022-08-12,404,,noun
c495dd60-9438-5d9f-892e-6b37d6d88c4a,witch,魔女,まじょ,,noun,,,2022-08-12,405,,noun
52f192e3-6628-546b-80b5-f63547b440d5,demon; ogre,鬼,おに,,noun,,3,2022-08-12,406,,noun
63f02942-2ba9-5ff6-aa84-be6ecd6f209d,devine spirit,神,かみ,,noun,,3,2022-08-12,407,,noun
abbcc24b-a635-5aeb-b6ef-387d88099538,travel; trip; journey,旅,たび,,noun,,3,2022-08-12,408,,noun
aeac8e75-ade1-55a0-b4d0-4203dc90df45,light music,軽音楽,けいおんがく,,noun,,1,2022-08-19,409,,noun
300bed58-ddab-5420-8396-3147573388c3,club; department (of company),部,ぶ,,noun,,1,2022-08-12,410,,noun
7735ac10-24a6-57a5-baf8-6eec8dc148ae,tidal wave,津波,つなみ,,noun,,1,2022-08-12,411,,noun
e2a1e5ef-c9d8-5554-a912-e6014d2c0f35,small child; cute small version of someone,チビ,ちび,,noun,,,2022-08-13,412,,noun
2c0b911e-ac72-5c04-bfd3-ebcd9e988dee,cute,カワイイ,かわいい,,adjective,i adjective,5,2022-08-13,413,,adjective i-adjective
281d7359-80a0-519d-9c57-504f35bfd5ee,heated table,こたつ,こたつ,,noun,,1,2022-08-13,414,,noun
c3f5ef65-8025-5f56-b5e1-efc61a1c81bc,Japanese bedding,布団,ふとん,,noun,,4,2022-08-13,415,,noun
49dcb689-b576-56c7-b9f6-1da98acb2667,to collect; to assemble; to gather,集める,あつめる,,verb,ichidan verb,4,2022-08-22,416,,verb ichidan-verb
4f3a6c3d-94a5-54c7-bd5c-c16d008d8cf7,cheers,乾杯,かんぱい,,noun,,2,2022-08-27,417,,noun
4a03f495-c343-5e8f-a1fe-fd1b6624f63a,laundry,洗濯,せんたく,,noun,,5,2022-08-29,418,,noun
4126b8e5-2e98-52ad-b637-7bd8ed566781,starry sky,星空,ほしぞら,,noun,,,2022-08-29,419,,noun
